timestamp,open,high,low,close,volume
2023/12/07 11:55,43958.5,44000.5,43951,44000.5,623495
2023/12/07 12:00,44000.5,44013.5,43981.5,43981.5,499836
2023/12/07 12:05,43981.5,44000,43973.5,43977.5,517342
2023/12/07 12:10,43977.5,43977.5,43956.5,43956.5,497765
2023/12/07 12:15,43956.5,43995,43956.5,43992,477833
2023/12/07 12:20,43992,44035,43991.5,44012.5,1019489
2023/12/07 12:25,44012.5,44012.5,43957,43957.5,386965
2023/12/07 12:30,43957.5,43978,43945.5,43965.5,461725
2023/12/07 12:35,43965.5,43983.5,43963,43983.5,257806
2023/12/07 12:40,43983.5,43996,43962,43962,145038
2023/12/07 12:45,43962,43983,43961,43961,330780
2023/12/07 12:50,43961,43961,43938,43949.5,166929
2023/12/07 12:55,43949.5,43950,43946,43949.5,204832
2023/12/07 13:00,43949.5,43950,43901,43930,1114171
2023/12/07 13:05,43930,43956,43922.5,43955.5,297815
2023/12/07 13:10,43955.5,43988,43955.5,43975.5,680969
2023/12/07 13:15,43975.5,43985,43975.5,43977.5,89466
2023/12/07 13:20,43977.5,43998.5,43969,43998.5,231163
2023/12/07 13:25,43998.5,44060,43998.5,44054.5,1236241
2023/12/07 13:30,44054.5,44054.5,44015.5,44040.5,1797042
2023/12/07 13:35,44040.5,44079,44027.5,44067.5,1696390
2023/12/07 13:40,44067.5,44074.5,44036.5,44040.5,476880
2023/12/07 13:45,44040.5,44041,43986,44021,1563526
2023/12/07 13:50,44021,44046.5,44000,44000.5,350943
2023/12/07 13:55,44000.5,44007.5,44000.5,44001.5,29096
2023/12/07 14:00,44001.5,44001.5,43957,43998.5,3121059
2023/12/07 14:05,43998.5,44072.5,43998.5,44065.5,680266
2023/12/07 14:10,44065.5,44071,44019.5,44019.5,239442
2023/12/07 14:15,44019.5,44033,44000,44028.5,261166
2023/12/07 14:20,44028.5,44085,44022,44051,1053099
2023/12/07 14:25,44051,44071,44035.5,44071,1576331
2023/12/07 14:30,44071,44077,44052,44077,1149997
2023/12/07 14:35,44077,44077,44050,44062,202107
2023/12/07 14:40,44062,44070.5,44013,44018,241417
2023/12/07 14:45,44018,44022,44001.5,44008.5,548671
2023/12/07 14:50,44008.5,44021,44003.5,44016.5,180792
2023/12/07 14:55,44016.5,44041.5,44001.5,44041,230049
